Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
100,1k,16,TP_DRL,3,241,69,6,0,0,2549.317893098289,21.309291275749604,1230312.720042352,183723.3815281778,61698.43341479168,245421.81494296947,0.5637510381540077,0.062174416770738
101,1k,16,TP_DRL,3,262,85,11,0,0,2597.8656676357123,22.35314112874001,1204577.149891353,188256.19323617275,61722.854963441925,249979.04819961468,0.5671754011520955,0.035665781402242
102,1k,16,TP_DRL,3,244,74,8,0,0,2549.2975688049937,21.23572354826586,1220159.8924907497,184190.73717798368,61181.091066057255,245371.82824404087,0.545371936873939,0.057412899273522
103,1k,16,TP_DRL,3,247,78,10,0,0,2549.311024525187,20.67095464645031,1206134.054861095,183575.9118651944,61882.407124425816,245458.31898962025,0.5668809456141896,0.0513830046927186
104,1k,16,TP_DRL,3,260,87,7,0,0,2549.320941048185,21.501706242796,1192985.3681108458,183714.705628532,61685.5134506809,245400.21907921284,0.5660112731680798,0.0425600687230159
105,1k,16,TP_DRL,3,256,84,11,0,0,2549.303101481861,21.876052094985184,1198510.9008829012,184032.74367125623,61358.275062779714,245391.018734036,0.5600379602783406,0.0411767256299632
106,1k,16,TP_DRL,3,250,81,12,0,0,2549.2907285664623,21.00224315630614,1200221.4544342102,183887.690369578,61488.57569786676,245376.2660674448,0.5685807717304476,0.0437057538767978
107,1k,16,TP_DRL,3,252,80,9,0,0,2549.3182486895084,21.795330473689184,1208703.6153037986,183838.8824815389,61573.6560223442,245412.5385038832,0.557233180106359,0.0478679399845694
108,1k,16,TP_DRL,3,244,71,8,0,0,2597.857683422586,21.08165475660917,1232631.0456835958,188045.84239432955,61954.53357246727,250000.37596679683,0.5671449345459412,0.0578359737201033
109,1k,16,TP_DRL,3,261,76,8,0,0,2549.395281274792,20.26460621846432,1193276.92609789,183887.80809647447,61533.41304201539,245421.22113848987,0.5787757916277083,0.0494848784679288
110,1k,16,TP_DRL,3,226,89,10,0,0,2597.8421086294857,20.60016533075824,1224335.0798889578,188225.27787754,61764.79588891121,249990.0737664512,0.5631304466376235,0.0503729733337545
111,1k,16,TP_DRL,3,239,68,12,0,0,2549.2704663430727,20.35921724765396,1218419.9628754335,184102.9179994983,61293.63844497914,245396.55644447744,0.549819480486527,0.0602232509482666
112,1k,16,TP_DRL,3,265,89,7,0,0,2549.3294039594093,20.559204328728804,1177944.9202424174,183523.81813816112,61902.03669583547,245425.8548339966,0.5740499579726412,0.0409890676144364
113,1k,16,TP_DRL,3,247,80,8,0,0,2597.825705718861,20.468645861622274,1215078.9752288624,188504.80801537892,61433.94072637984,249938.7487417588,0.5695187545230815,0.0500312220950019
114,1k,16,TP_DRL,3,245,76,8,0,0,2597.8467707987,20.867483914256937,1223207.8556459178,188755.5168510053,61122.460443661854,249877.9772946672,0.5556001989412299,0.0540506659049844
115,1k,16,TP_DRL,3,263,77,7,0,0,2549.2969676135685,20.823299999834287,1195564.5821410257,183624.34915984,61813.92591174191,245438.27507158188,0.5735331393921259,0.0476118024412117
116,1k,16,TP_DRL,3,253,77,8,0,0,2549.3246898878865,20.88706637966626,1205664.2757435504,184048.68340589275,61337.19653020412,245385.87993609687,0.5680496527504868,0.0511705228320588
117,1k,16,TP_DRL,3,266,72,10,0,0,2597.8471467785366,21.27004140003,1206991.8123238194,188130.2165018456,61838.595021791225,249968.8115236368,0.5767878928852332,0.0470365220949221
118,1k,16,TP_DRL,3,237,77,13,0,0,2549.323129601491,21.365204527070507,1220778.9908076013,183704.42804232528,61724.90739720262,245429.3354395279,0.5672096326912895,0.0504642427961041
119,1k,16,TP_DRL,3,256,83,8,0,0,2549.309523267908,20.5074277217715,1193641.1596864236,184059.4112556163,61533.646616710896,245593.0578723272,0.5701378988829047,0.045718314009407
120,1k,16,TP_DRL,3,270,81,9,0,0,2549.327490724235,20.98779980157401,1180599.875241069,182975.23383788764,62612.13431532453,245587.36815321216,0.5752653634413895,0.0408210903851957
121,1k,16,TP_DRL,3,242,71,9,0,0,2549.368694617483,20.461059538570773,1218345.8696768207,184081.8492128232,61316.10556501872,245397.9547778419,0.5522013122550219,0.0600352653894771
122,1k,16,TP_DRL,3,267,81,10,0,0,2597.8401463420028,20.19860450832579,1186460.447173754,188380.79554820128,61603.23737768193,249984.0329258832,0.5697116823927241,0.0430334375154169
123,1k,16,TP_DRL,3,254,80,8,0,0,2597.879866563924,21.36363867533881,1211930.3464700435,187771.9797697191,62255.0493567992,250027.0291265183,0.5667079819396869,0.0478736451050764
124,1k,16,TP_DRL,3,257,75,7,0,0,2597.800811276565,21.53824941305149,1216465.093138775,188445.327416511,61528.45960920791,249973.7870257189,0.5560613291396174,0.0523929160854376
125,1k,16,TP_DRL,3,267,83,11,0,0,2597.837800079107,21.120259434302582,1189595.2409871006,188001.5290274164,61999.94148189435,250001.47050931072,0.5703163612299659,0.039419576366812
126,1k,16,TP_DRL,3,266,85,11,0,0,2549.33223901864,21.75950667404057,1185791.083037023,184049.9637599756,61337.195905909546,245387.1596658852,0.5658462544157238,0.0370685958788478
127,1k,16,TP_DRL,3,255,85,10,0,0,2549.2945888049285,20.03522433341047,1186228.9813367263,183538.77368880567,61917.518202451865,245456.2918912576,0.5772267650048474,0.0432625214109823
128,1k,16,TP_DRL,3,255,85,9,0,0,2597.870019057744,20.325893553353357,1199582.5484642584,188182.10501610624,61821.81448476616,250003.9195008724,0.5751445013364325,0.0437668126353097
129,1k,16,TP_DRL,3,241,66,9,0,0,2549.356033954724,20.718400166738725,1227093.223234637,183732.64286587303,61699.58781956098,245432.230685434,0.5696954350167485,0.0638107486475281
130,1k,16,TP_DRL,3,265,74,8,0,0,2549.312232731927,20.476061526308,1191502.1690229313,183773.19625466163,61679.76544627856,245452.96170094016,0.5616225242046435,0.0509799654452254
131,1k,16,TP_DRL,3,261,94,9,0,0,2549.3422011237367,20.71706413684316,1175849.4575603332,183475.40871839345,61975.56559039889,245450.9743087923,0.5768066796147615,0.0353878475620844
132,1k,16,TP_DRL,3,285,83,7,0,0,2597.831626925001,21.13761186383753,1177119.989543809,188050.4562446313,61987.20242828488,250037.6586729161,0.5759159109496872,0.0348333052816753
133,1k,16,TP_DRL,3,252,71,9,0,0,2597.8411383860303,21.02894004945248,1222438.3635998808,188357.6398280004,61626.35365500206,249983.99348300244,0.5639355688487028,0.0534385220696812
134,1k,16,TP_DRL,3,259,83,7,0,0,2549.3457150900467,21.09477610955512,1194381.5415579611,183877.2408807724,61524.020827715445,245401.2617084878,0.5670935880589713,0.0453489596211241
135,1k,16,TP_DRL,3,283,82,9,0,0,2549.3135771379484,22.243945556403133,1177541.0522249234,183468.376865592,62008.83358584366,245477.21045143565,0.5641920506431299,0.0337141820616726
136,1k,16,TP_DRL,3,260,92,10,0,0,2549.33899958294,20.9995180181678,1181106.011651503,183848.750451409,61561.96818579729,245410.7186372063,0.5734757892700327,0.0354510836088655
137,1k,16,TP_DRL,3,257,79,11,0,0,2597.8518053047496,21.045137590896555,1205059.8848179237,188200.31458564164,61788.195449396655,249988.51003503829,0.5671901453907368,0.0443300520750463
138,1k,16,TP_DRL,3,254,77,9,0,0,2549.335246878308,20.989232277988,1203200.1095841415,183989.36438372696,61426.44485283077,245415.8092365577,0.5637485786325865,0.0486007763100443
139,1k,16,TP_DRL,3,246,69,9,0,0,2597.865954518952,21.195947872613228,1229683.4351813684,187733.38367062004,62285.01272343875,250018.3963940588,0.5670877523259809,0.0580012972665413
140,1k,16,TP_DRL,3,268,90,9,0,0,2597.829007225692,20.151748191757783,1178108.4729656535,188141.64839387644,61842.54789557687,249984.1962894533,0.5727319122501153,0.0365179652261044
141,1k,16,TP_DRL,3,259,76,10,0,0,2549.300839521162,20.932735904603124,1198503.289242644,184139.44772770585,61261.78207234858,245401.2298000544,0.5648922848903252,0.0474962687232014
142,1k,16,TP_DRL,3,245,82,6,0,0,2545.2059185225125,21.148019309355213,1211904.1593486166,182985.8383839193,62088.3626307825,245074.2010147018,0.5717330445647215,0.0511362472917467
143,1k,16,TP_DRL,3,235,77,11,0,0,2549.2665341953075,21.155303459385102,1224564.8869785552,183918.161914618,61498.01778219358,245416.1796968116,0.5660482227791229,0.0537521318111284
144,1k,16,TP_DRL,3,249,74,11,0,0,2549.3332258584733,21.188692097032977,1212713.8706270263,183304.0666138335,62185.55218627743,245489.6188001109,0.5718866882560363,0.0530899267648458
